"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "XML", "Swift", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 8, 30
"c:\.projects\flutter\mental_health_flutter\analysis_options.yaml", "YAML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 22, 4, 33
"c:\.projects\flutter\mental_health_flutter\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 12, 7, 52
"c:\.projects\flutter\mental_health_flutter\android\app\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\.projects\flutter\mental_health_flutter\android\app\lint-baseline.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\.projects\flutter\mental_health_flutter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 21, 3, 76
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 1, 20
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 1, 23
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 1, 20
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 1, 23
"c:\.projects\flutter\mental_health_flutter\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\.projects\flutter\mental_health_flutter\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\.projects\flutter\mental_health_flutter\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\.projects\flutter\mental_health_flutter\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\.projects\flutter\mental_health_flutter\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"c:\.projects\flutter\mental_health_flutter\assets\animation\coming_soon.json", "JSON", 0, 0, 0, 0, 12323, 0, 0, 0, 0, 0, 0, 0, 12323
"c:\.projects\flutter\mental_health_flutter\assets\google_gemini_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\assets\translations\ar.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\.projects\flutter\mental_health_flutter\assets\translations\en.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
