"filename", "language", "YAML", "Dart", "JSON", "XML", "Gradle", "C++", "CMake", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 18, 0, 0, 2, 3, 23
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, -4, 1, 1
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\.projects\flutter\mental_health_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\.projects\flutter\mental_health_flutter\assets\google_gemini_icon.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\.projects\flutter\mental_health_flutter\assets\images\google_gemini_icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\assets\translations\ar.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\assets\translations\en.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\firebase.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\.projects\flutter\mental_health_flutter\flutter_launcher_icons.yaml", "YAML", -18, 0, 0, 0, 0, 0, 0, -9, -6, -33
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\BrandingImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\.projects\flutter\mental_health_flutter\lib\core\ads_helper.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\.projects\flutter\mental_health_flutter\lib\core\notification_handler.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 6, 10, 68
"c:\.projects\flutter\mental_health_flutter\lib\core\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_cubit.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, -3, -1, -3
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\login_page.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 0, 0, -10
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\logup_page.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, 0, 1, -8
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\chat_gemini\chat_with_gemini.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, -5, -19
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\model\doctor_model.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\entities\doctor.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\page\get_doctor.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, -2, -3
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\widget\get_doctor_bottom_sheet.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\chart_database\chart_database.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -60, -13, -82
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\chart_database\chart_database_state.dart", "Dart", 0, -7, 0, 0, 0, 0, 0, 0, -7, -14
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\chart_mode\data_helper.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\model\chart_mode_data_model.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 4, 5
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\page\meditation_screen.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 36, 1, 104
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\chart_widget.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 3, 8, 79
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\custom_mood_bottomsheet.dart", "Dart", 0, -43, 0, 0, 0, 0, 0, -19, 2, -60
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\drawer_widget.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\feeling_button.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\task_card.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, -5, 1, 29
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\page\playlist_screen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\widgets\songs_bottom_sheet.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 30, 0, 40
"c:\.projects\flutter\mental_health_flutter\lib\firebase_options.dart", "Dart", 0, -7, 0, 0, 0, 0, 0, -10, -3, -20
"c:\.projects\flutter\mental_health_flutter\lib\main.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 20, 0, 45
"c:\.projects\flutter\mental_health_flutter\lib\presentation\about_developer.dart", "Dart", 0, 187, 0, 0, 0, 0, 0, 4, 2, 193
"c:\.projects\flutter\mental_health_flutter\lib\presentation\bottom_nav_bar\widget\bottom_nav_bar.dart", "Dart", 0, -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\.projects\flutter\mental_health_flutter\lib\presentation\home_screen\home_screen.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 11, 0, 1
"c:\.projects\flutter\mental_health_flutter\lib\presentation\support_developer.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\.projects\flutter\mental_health_flutter\lib\presentation\tech_used.dart", "Dart", 0, 151, 0, 0, 0, 0, 0, 2, -1, 152
"c:\.projects\flutter\mental_health_flutter\lib\translations\codegen_loader.g.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\.projects\flutter\mental_health_flutter\lib\translations\locale_keys.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, -1, -1, -1
"c:\.projects\flutter\mental_health_flutter\pubspec.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 11, -2, 16
"c:\.projects\flutter\mental_health_flutter\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, -89, 0, -20, -109
"c:\.projects\flutter\mental_health_flutter\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, -98, 0, -12, -110
"c:\.projects\flutter\mental_health_flutter\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -15, 0, -4, -5, -24
"c:\.projects\flutter\mental_health_flutter\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, -5, -6, -16
"c:\.projects\flutter\mental_health_flutter\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, -22, 0, -6, -28
